Ammonia,Benzene,Alcohol,CO,Methane,CNG,LPG,Butane,Hydrogen,Smoke,Propane,AQI
40.23,1.24,8.37,3.34,5.49,5.29,5.62,2.91,3.12,189.55,9.69,178.76
5.59,1.16,3.87,5.37,3.01,9.88,5.55,2.59,9.48,138.57,2.44,142.25
41.51,3.79,4.87,0.18,5.12,7.22,2.14,9.7,9.9,123.23,1.09,170.13
15.41,0.4,7.17,5.99,0.94,4.33,1.39,7.12,0.69,81.3,6.18,105.06
33.64,4.87,5.02,5.34,6.66,3.64,4.5,1.62,9.23,170.3,0.73,189.83
17.29,2.33,9.47,9.34,2.51,5.23,8.13,4.13,7.9,18.9,9.92,99.79
2.49,1.43,8.06,16.5,5.15,5.65,2.72,4.91,1.1,11.83,0.41,72.04
16.43,4.12,0.2,1.79,6.12,6.45,1.82,4.63,7.47,197.66,7.8,176.99
9.44,0.28,6.34,18.49,9.58,3.33,6.82,5.99,9.81,185.52,6.68,197.34
37.53,2.36,4.47,4.65,2.3,7.25,2.86,6.29,8.49,25.26,5.94,103.01
29.19,4.1,0.56,13.74,2.4,9.24,4.81,2.83,3.46,131.73,4.16,163.64
24.98,2.84,0.17,9.59,5.6,4.33,7.87,3.89,9.72,44.92,8.46,123.56
5.7,1.44,7.38,19.67,8.7,8.1,8.44,5.12,8,101.11,3.1,170.95
29.23,3.1,0.53,5.48,1.14,8.99,1.67,4.66,2.38,118.2,8.14,135.08
8.92,3.65,0.6,1.13,3.27,1.99,3.08,6.88,6.18,132.99,4.11,143.21
4.57,1.24,3.23,0.78,4.34,7.85,5,3.21,9.7,45.72,9.07,79.01
44.73,2.68,2.04,1.38,4.12,6.29,8.77,3.45,7.14,159.05,0.48,195.7
31.23,3.49,5.94,7.18,4.96,4.78,5.54,3.35,0.49,96.02,1.57,136.18
14.48,4.32,0.21,11.81,4.38,4.27,0.58,1.4,1.82,3.26,7,65.83
23.97,1.67,6.11,19.92,5.47,6.95,5.54,0.4,4.69,17.93,9.35,95.86
40.35,4.43,4.92,10.9,4.11,1.81,2.86,4.31,3.04,101.89,7.68,133.21
32.04,0.68,9.18,14.85,3.29,9.56,1.32,9.26,6.03,72.71,8.6,147.88
41.1,1.3,8.72,13.25,4.19,9.16,3.13,7.02,9.43,80.12,0.36,142.86
7.52,4.06,1.65,13.08,0.35,3.52,7.63,4.91,8.37,26.21,1.82,86.35
47.22,3.81,3.05,11.44,2.5,2.07,1.03,1.71,3.52,183.61,8.45,201.46
32.46,3.01,5.72,3.49,9.18,9.58,2.62,4.23,8.05,128.08,2.93,172.36
20.79,3.62,1.21,12.48,8.69,1.57,9.6,2.31,1.58,198.8,4.7,176.07
36.9,2.23,2.98,9.23,4.95,0.17,0.19,1.26,9.17,6.89,9.75,82.87
15.67,0.31,1.69,17.93,6.84,9.5,7.82,9.92,5.37,154.54,6.64,194.43
16.34,0.76,0.87,1.89,8.91,0.31,0.86,8.94,3.01,150.39,0.64,135.87
3.82,4.89,8.91,4.45,9.79,9.66,4.18,0.47,9.81,147.95,8.35,169.25
16.44,3.43,0.78,11.51,5.7,6.46,9.37,3.79,0.52,196.19,6.96,207.13
2.82,1.24,6.71,17.67,4.93,8.23,3.47,7.9,0.69,184.31,2,205.19
3.42,3.2,6.57,2.37,6.32,9.19,4.08,5.43,8.14,109.18,9.31,135.25
46.65,0.42,8.83,18.93,0.73,5.56,4.71,9.67,4.37,94.58,7.34,152.58
3.22,4.87,5.45,11.53,3.8,8.24,0.48,3.74,7.51,29.39,5.23,87.88
6.55,4.41,1.84,1.48,3.44,6.95,7.95,7.61,8.14,63.89,6.01,114.28
41.65,1.18,4.71,14.28,7.84,3.76,0.95,8.19,0.52,78.87,8.25,139.43
27.93,1.62,3.05,17.28,2.6,3.52,1.24,6.5,9.65,77.06,4.09,139.97
9.33,1.05,7.69,5.23,8.71,4.79,4.28,5.26,2.43,99.01,2.01,112.37
35.34,3.39,5.14,16.91,4.04,7.26,3.73,5.18,9.83,54.94,1.8,147.2
28.09,1.01,6.61,10.75,3.46,8.81,6.21,3.2,2.14,176.63,1.44,194.2
42.32,2.52,2.44,6.41,2.45,0.59,9.49,5.73,3,73.62,0.75,128.22
3.99,3.4,0.64,18.27,6.41,0.91,3.94,8.51,9.54,12.06,8.19,105.33
29.51,4.46,7.04,5.05,3.83,3.23,7.99,1.21,6.88,115,1.33,146.32
9.79,2.55,2.19,15.13,7.53,1.1,8.83,6.54,6.24,173.86,8.61,178.92
35.24,1.87,7.48,9.72,0.22,7.51,2.04,0.39,8.96,83.35,5.55,114.64
3.68,4.52,1.35,18.31,6.49,3.7,8.23,2.11,2.05,132.71,1.39,136.18
16.63,1.95,2.05,16.78,6.78,2.14,4.12,5.93,2.39,149.69,8.4,173.9
43.79,3.97,3.45,6.86,8.17,4.45,4.24,8.88,9.97,163.44,6.02,212.68
37.25,0.27,6.9,2.61,1.55,7.93,6.99,4.19,0.22,160.19,7.56,171.66
11.69,2.75,4.9,1.02,3.3,4.02,4.29,7.02,8.42,7.74,1.39,48.8
38.59,2.81,6.4,2.94,6.84,8.28,4.62,3.84,3.16,117.5,7.87,130.86
23.47,2.93,7.98,7.74,2.89,5.25,2.05,2.99,8.39,188.12,6.2,182.26
44.94,4.71,8.72,18.08,0.43,4.71,0.09,3.61,6.39,26.07,8.42,115.27
21.43,4.88,7.15,15.89,5.63,8.92,5.52,6.21,0.62,107.17,2.78,165.2
24.83,0.19,8.51,14.28,4.18,6.73,2.9,1.78,7.96,165.65,0.53,172.03
44.44,1.56,6.13,11.72,9.67,4.93,1.2,6.58,3.08,186.74,8.87,214.1
42.79,3.37,8.94,14.05,6.45,2.06,2.14,5.81,3.96,18.1,2.22,107.15
13.48,4.2,7.09,15.32,7.36,4.68,2.67,8.67,5.12,129.49,6.24,171.85
35.13,3.95,0.3,17.57,2.48,9.68,8.18,9.31,7.28,63.9,5.48,158.83
12.4,3.7,2.09,19.81,6.28,9.83,7.32,2.6,7.91,69.79,5.29,132.55
43.68,4.05,2.56,13.34,8.54,5.18,9.35,4.53,1.89,127.38,9.57,170.06
28.82,4.97,8.14,12.42,7.16,9.77,6.57,4.67,7.89,125.23,7.53,181.43
32.6,3.28,6.72,11.9,7.15,5.04,6.97,8.42,1.51,63.23,3.53,119.1
17.88,2.68,9.19,18.13,3.96,2.78,9.41,1.09,2.83,199.75,6.18,205.69
22.16,1.95,5.36,0.04,1.55,3.49,9.72,5.38,6.14,160.66,3.5,145.07
21.35,0.44,8.08,3.75,3.98,6.03,8.24,4.92,9.97,25.26,9.12,77.42
37.66,3.15,9.94,6.07,0.91,8.34,8.26,7.52,6.39,196.32,5.51,210.82
1.05,3.84,3.84,15.07,0.65,6.94,2.72,6.62,5.61,76.12,8.15,122.46
31.46,2.53,6.22,9.68,5.98,5.26,9.31,2.82,9.39,173.71,7.34,203.73
44.52,1.62,3.09,5.44,6.2,7.85,9.7,0.46,8.82,79.44,8.39,143.7
17.01,4.49,5.11,0.63,1.09,9.4,3.97,1.97,8.24,14.63,2.48,74.25
16.72,1.09,3.98,19.98,2.46,7.35,4.88,8.92,7.37,60.3,0.27,120.5
34.18,0.41,6.82,17.05,4.21,2.85,5.03,9.32,9.51,12.54,3.37,108.6
34.8,0.69,6.72,6.76,8.06,0.62,1.73,4.9,5.8,2.33,8.85,64.31
32.21,0.2,8.38,12.79,9.94,1.5,1.84,0.37,0.51,141.1,4.8,152.23
43.35,1.29,4.33,2.54,2.57,1.28,8.87,5.6,0.28,82.56,6.9,147.81
17.16,2.56,3.43,2.64,0.62,0.99,5.77,9.91,8.19,52.17,5.27,107.99
40.38,2.69,4.27,4.79,7.59,3.21,9.38,8.68,2.2,160.73,5.48,180.37
20.3,1.93,0.37,4.59,7.84,9.88,9.47,1.85,4.8,82.92,5.42,121.77
23.68,1.03,1.85,5.31,0.8,9.03,6.4,2.17,2.41,110.3,5.09,145.4
4.95,3.75,5.08,18.31,0.06,8.58,1.8,5.28,1.42,171.05,3.46,166.77
47.92,2.27,5.56,8.99,7.11,2.56,8.43,2.14,4.83,32.36,5.44,119.61
27.32,2.94,5.58,8.54,2.11,5.27,9.47,5.21,6.8,105.37,0.22,135.61
25.95,0.81,9.89,6.41,5.91,5.19,5.76,2.86,2.19,1.23,8.52,74.36
21.52,2.06,5.78,15.76,9.2,4.94,2.8,2.03,3.65,136.92,1.4,153.65
33.61,2.84,4.24,8.06,9.36,1.88,4.64,3.14,1.86,166.84,8.86,179.84
23.71,3.54,8.68,9.43,2.33,8.36,3.83,2.3,1.51,153.49,4.25,157.77
3.39,2.36,9.79,7.81,5.26,2.28,9.58,4.45,1.44,103.57,8.06,135.42
12.09,1.05,0.71,8.2,3.4,0.31,3.97,8.2,8.4,150.9,6.02,162.9
7.16,3.72,2.36,7.02,2.61,0.23,9.07,7.19,2.11,113.54,3.49,132.21
34.31,3.9,0.15,11.33,8.93,4.29,4.18,7.37,7.84,76.86,9.32,145.03
34.67,0.2,0.86,1.04,2.06,4.87,2.74,8.31,6.76,109.49,0.83,127.49
33.16,2.45,0.69,7.43,3.25,1.84,0.41,2.62,8.54,25.15,2.72,80.88
26.08,0.3,2.43,0.07,4.01,4.81,3,9,8.73,73.88,0.89,111.57
26.62,4.03,8.28,14.83,6.74,7.06,1.4,3.03,6.44,63,4.14,139.43
35.51,1.92,7.44,2.7,4.57,7.08,9.65,8,8.09,131.21,5.63,184.31
3.41,3.9,8.69,15.15,4.16,0.48,9.11,1.89,9.17,86.45,9.63,122.41
11.69,0.5,8.49,0.92,9.16,0.01,6.93,8.45,8.9,93.76,7.3,134.37
44.98,0.54,6.7,5.09,5.93,6.41,0.3,3.78,6.54,171.72,6.49,203.14
25.9,3.64,0.87,11.44,5.87,4.06,8.45,3.74,7.34,154.08,4.2,183.9
23.31,2.72,4.75,4.4,6.03,2.16,1.31,6.03,7.7,73.1,7.44,115.51
15.17,4.88,8.85,5.79,6.73,1.8,0.18,0.88,2.5,149.36,8.18,172.9
44.38,4.22,6.06,16.31,0.86,3.82,8.6,0.36,4.53,71.52,1.17,135.22
7.67,2.95,4.27,7.51,1.9,0.2,3.83,7.15,5.25,4.18,0.12,45.84
22.47,3.45,1.81,13.09,9.39,4.76,8.44,8.95,2.7,152.43,8.7,201.93
33.65,2.76,7.37,9.18,1.89,2.43,9.21,5.62,3.77,181.82,1.49,184.66
38.64,3.7,6.99,18.4,4.05,3.47,3.36,2.26,4.21,66.14,5.92,124.65
12.53,4.02,2.16,5.15,1.2,3.3,5.2,6.6,9.35,169.59,2.01,160.64
3.94,4.36,6.58,10.91,4.24,9.38,3.93,8.5,7.74,71.12,7.51,111.87
12.69,4.34,1.83,19.95,9.84,5.02,1.65,1.89,3.62,119.48,7.51,163.2
47.67,3.52,7.94,9.85,4.97,3.52,7.95,4.7,3.78,126.58,0.04,175.17
8.88,1.37,0.05,19.37,1.55,3.34,5.87,0.63,3.79,72.49,1.71,101.58
16.89,1.3,6.76,0.27,6.44,1.22,9.27,0.08,7.71,124.92,7.35,144.88
45.93,3.41,3.5,11.44,2.75,4.61,2.66,2.59,4.47,30.27,4.64,89.4
6.02,1.39,4.12,5.64,3.46,8.83,3.64,8.46,5.74,139.56,1.66,169.05
33.82,0.98,1.75,12.5,8.26,2.18,5.8,4.94,1.02,115.78,1.36,155.79
19.94,1.66,3.5,3.64,2.79,9.74,1.64,0.46,1.33,132.56,1.48,126.16
9.47,1.23,0.79,12.96,5.39,0.54,4.6,3.16,1.15,195.99,1.84,174.4
25.65,1.34,1.76,2.65,4.72,6.08,6.45,8.92,5.8,176.14,5.29,198.92
44.85,1.59,2.13,11.23,3.55,8.58,4.17,8.25,9.73,64.55,0.29,149.2
32.67,1.76,6.85,7.78,5.3,4.35,6.15,4.97,9.2,42.11,0.23,101.45
40.25,4.74,6.05,2.7,1.57,4.96,4.1,3.56,8.18,90.79,1.66,133.67
1.23,1.56,4.43,1.6,6.61,0.04,2.22,8.23,5.36,64.25,2.45,74.36
25.73,0.11,0.97,6.02,0.61,9.29,2.68,5.28,3.88,59.31,5.3,101.1
28.3,3.15,8.67,7.83,2.45,9.93,8.24,0.98,9.06,56.04,2.95,116.17
27.32,3.06,1.42,17.95,8.14,3.84,0.63,8.78,6.16,47,3.84,129.18
29.05,4.1,8.07,19.26,5.21,6.86,9.52,8.24,2.64,78.69,2.52,153.65
18.39,1.02,6.06,4.92,4.3,7.76,4.62,3.89,6.8,145.21,6.61,157.92
32.56,4.16,6.7,2.25,7.86,2.68,4.16,9.06,0.62,198.35,8.72,219.63
45.62,1.53,6.79,19.82,0.42,7.7,9.78,7.96,6.96,127.42,9.92,212.32
39.87,1.76,3.4,14.41,1.81,5.49,9.07,5.48,8.27,183.21,4.83,211.03
38.98,4.27,9.77,2.17,0.34,5.32,5.72,7.78,2.19,73.8,2.14,127.16
23.19,2.99,8.49,14.16,4.67,2.34,6.37,1.64,0.33,22.78,9.58,91.99
5.25,3.13,7.3,9.35,5.07,0.51,0.8,7.76,3.15,163.86,9.85,159.48
30.89,4.23,1.45,13.35,9.27,0.69,8.99,2.02,0.73,104.97,9.77,162.31
21.27,0.43,2.45,19.28,1.41,1.54,6.89,8.61,4.27,156.93,7.14,188.52
10.31,4.09,8.87,7.23,3.26,1.89,8.03,1.22,4.35,63.65,4.31,102.49
13.9,3.8,9.73,2.48,2.53,1.86,6.88,3.05,7.01,32.42,1.67,82.25
38.75,4.19,4.85,2.93,2.24,6.74,6.56,5.43,2.83,44.91,5.55,109.46
7.48,2.7,1.81,18.14,1.64,5.13,2.67,1.86,8.78,134.52,3.64,145.08
15.9,1.06,1.97,11.02,3.96,5.66,1.13,2.98,5.92,142.76,0.04,137
16.65,1.04,1.4,12.94,7.85,4.61,2.29,2.87,7.68,53.28,1.78,92.42
23.12,0.75,8.79,4.79,8.51,4.93,0.11,5.2,0.69,11.29,0.37,74.57
41.83,1.42,9.9,5.43,6.53,9.14,0.04,7.24,6.26,81.9,0.48,122.92
5.77,1.09,3.21,18.13,3.79,6.15,9.43,0.49,3.18,118.64,6.86,141.94
36.3,3.16,2.55,0.33,0.06,8.95,9.25,3.34,8.97,27.66,0.77,89.86
21.76,1.88,3.31,9.67,1.33,7.55,0.39,6.67,8.89,33.51,4.97,99.95
40.6,1.09,0.27,3.47,8.6,0.14,9.74,7.18,8.13,59.8,2.64,133.52
23.33,0.55,3.32,18.81,7.21,0.2,3.72,2.5,6.89,145.13,3.08,181.23
24.86,2.7,9.75,13.88,6.85,4.73,2.94,8.53,8.76,21.25,8.99,95.71
9.97,4.18,9.37,1.28,4.32,0.79,3.3,3.24,7.99,132.41,8,139.92
46.52,1.03,9.83,5.69,7.84,9.4,1.69,7.6,9.3,55.22,4.24,135.54
44.35,4.12,6.45,18.14,3.74,2.25,6.56,3.98,5.44,124.55,3.59,178.77
19.46,3.16,7.69,7.23,9.61,5.6,2.14,9.09,8.27,41.26,7.49,103.78
15.19,1.96,3.24,13.45,5.78,3.57,2.07,4.44,1.29,137.97,2.16,149.23
35.72,0.51,6.72,11.66,0.46,6.61,8.31,10,7.02,165.78,0.81,185.25
16.22,3.05,7.07,1.28,1.12,0.2,3.13,3.89,2.7,99,0.08,103.71
19.35,1.29,9.22,8.34,6.45,8.88,5.13,0.03,3.43,79.65,3.95,93.63
45.34,1.53,1.58,12.54,8.85,6.01,0.03,1.45,1.85,134.53,3.64,170.34
24.73,4.17,5.68,18.8,1.89,8.89,0.8,6.09,3.01,92.27,4.63,161.57
37.96,4.75,1.93,16.33,1.03,0.14,2.73,2.46,2.13,117.03,7.51,154.97
5.88,3.69,3.92,1.9,7.44,9.15,1.27,8.25,1.28,187.33,4.24,189.81
14.47,3.87,3.68,3.24,1.17,7.33,9.91,2.97,6.67,136.36,9.96,163.09
21.61,0.53,7.2,15.01,3.88,8.21,4.38,8.29,9.5,149.64,0.45,176.94
46.72,4.83,3.24,15.03,2.62,4.37,3.05,9.26,3.22,138.72,3.63,197.13
34.74,1.02,2.4,13.27,4.02,7.89,2.29,1.84,9.02,44.32,5.19,112.29
33.5,1.71,4,9.42,4.31,3.57,2.64,7.06,3.09,157.15,6.52,179.55
49.13,3.91,3.44,12.73,1.51,6.37,4.3,8.91,7.03,178.34,8.51,228.39
44.88,2.1,5.35,15.43,3.17,4.16,4.94,3.66,8.45,140.68,0.65,179.59
31.81,4.29,5.99,12.34,8.1,2.29,2.87,8.86,8.02,16.4,4.28,120.53
48.12,2.02,0.59,14.02,3.91,6.21,5.88,2.24,6.23,69.18,4.53,142.83
44.65,3.69,4.99,1.13,4.77,3.87,2.66,7.37,9.36,119.55,0.33,165.58
3.86,4.71,7.65,10.53,9.86,8.85,8.89,3.25,1.21,63.5,9.3,118.93
24.81,1.22,4.95,0.79,1.31,1.4,4.87,6.54,2.95,117.74,4.82,130.01
38.34,0.72,4.15,1.9,6.75,3.72,1.88,3.91,4.23,183.12,0.31,164.17
25.42,4.43,4.06,6.02,8.36,8.56,5.81,3.93,4,83.26,7.94,139.87
43.02,2.23,7.27,14.58,5.98,0.89,6.56,9.76,5.73,106.94,9.94,166.58
14.08,4.48,6.16,8.83,6.95,2.65,6.32,3.43,0.33,58.25,1.84,100.9
19.3,0.25,7.36,8.16,5.68,1.36,8.58,1.92,4.23,88.61,2.38,117.84
8.39,4.17,6.21,11.76,2.1,2.21,1.92,4.96,5.42,98.94,6.18,112.09
35.24,4.34,0.73,15.16,3.56,7.38,6.74,6.64,3.07,141.93,3.03,190.11
38.42,1.18,9.29,14.8,1.88,4.99,3.68,9.31,1.66,22.06,2.9,112.43
36.42,2.33,5.42,7.94,6.2,5.77,8.04,6.75,4.01,96.92,5.93,165.13
25.38,1.29,1.42,9.99,0.34,2.3,8.09,3.13,8.76,45.33,5.94,102.21
32.77,4.36,7.95,0.83,1.26,2.44,6.84,5.47,4.88,188.52,5.5,195.53
4.47,0.47,3.34,17.18,8.77,3.13,6.7,1.94,8.65,51.59,1.59,96.53
23.26,4.36,7.13,7.54,8.19,6.57,7.25,8.13,1.29,172.06,6.55,189.54
5.84,0.78,2.84,15.49,4.28,5.4,0.86,8.28,7.42,186.52,4.58,192.39
42.1,3.2,2.15,0.4,2.52,4.82,6.64,6.58,0.22,144.53,2.87,145.91
11.77,1.45,7.66,5.25,4.92,9.06,6.67,3.54,3.86,66.36,2.15,80.58
10.23,0.61,8.23,13.87,5.34,3.71,1.43,5.16,2.67,131,3.91,140.59
49.89,1.28,4.46,12.84,0.61,7.2,8.7,1.66,1.92,35.15,8.72,101.85
30.49,2.98,1.6,5.43,9.8,5.12,9.79,6.71,3.39,90.06,6.09,132.26
31.33,4.66,0.18,1.3,4.73,4.49,9.93,5.62,7.8,46.6,4.11,114.7
13.54,1.13,1.22,3.65,4.38,2.59,2.04,2.9,4.58,127.54,0.21,125.46
2.32,2.33,6.46,5.72,6.83,7.72,3.13,7.65,7.84,13.2,1.04,83.65
23.07,0.99,8.82,5.03,5,6.99,8.48,6.72,6.75,163.48,8.71,186.52
23.74,2.4,0.93,10.84,4.23,9.98,7.02,6.02,9.33,58.99,4.27,126.28
14.17,1.04,7.16,1.28,4.59,6.01,3.67,7.24,1.75,32.71,1.33,72.97
43.97,4.54,9.26,16.42,6.2,2.72,9.05,4.08,5.96,66.77,7.3,156.85
18.36,0.56,8.59,10.09,10,3.5,2.36,0.85,7.3,144.64,5.33,152.39
37.34,0.71,4.16,0.21,7.17,2.59,1.34,6.74,4.36,171.35,6.77,184.21
3.78,1.67,5.05,10.19,8.81,9.48,7.35,1.27,9.03,114.83,7.34,162.53
43.81,2.36,1.13,13.22,5.51,1.11,1.38,2.8,3.94,72.2,7.78,136.42
46.78,1.32,4.79,19.63,3.87,6.26,7.9,1.94,4.6,157.07,0.76,174.65
49.01,1.51,7.43,17.83,8.67,5.98,5.93,1.95,2.34,103.51,1.87,145.76
29.47,1.77,0.04,10.96,0.35,1,7.89,4.76,2.67,49.6,4.33,103.56
41.65,2.33,3.65,11.68,6.06,1.54,7.47,4.18,9.57,166.66,3.38,211.35
22.14,3.74,1.34,0.31,5.97,8.37,2.1,4.42,8.36,35.27,9.31,79.62
14.48,4.16,7.49,15.95,2.88,9.36,8.74,3.53,6.85,111.72,9.81,168.58
49.34,2.6,1.64,16.89,4.78,5.95,3.19,5.09,1.68,115.82,9.36,161.58
8.47,1.9,1.3,18.32,2.2,6.55,8.33,5.87,6.46,145.05,4.03,175.13
25.72,2.96,5.29,14.41,7.23,0.18,8.76,9.85,8.93,120.13,0.06,169.98
28.56,2.68,2.39,4.19,9.7,1.52,8.49,9.06,8.49,148.27,7.32,170.24
18.62,3.95,0.28,10.12,8.09,3.79,5.28,5.49,1.88,115.54,8.32,118.34
47.19,1.05,8.13,16.13,7.88,9.08,2.1,8.78,9.7,196.61,0.53,235.73
28.07,2,6.5,7.3,3.42,1.29,6.46,8.97,4.86,189.42,5.82,195.47
18.75,1.06,4.98,15.36,4.4,6.2,3.4,7.1,4.08,94.97,1.9,141.27
22.48,0.31,5.16,16.89,3.14,6.16,1.98,6.71,7.48,106.46,3.52,149.17
1.11,0.09,8.31,0.2,4.97,9.79,3.05,8.22,0.99,79.46,6.89,102.09
30.78,4.64,9.68,10.32,3.86,8.2,9.29,3.94,4.99,25.34,8.47,98.78
9.03,0.47,4.85,15.4,9.48,4.3,6.72,9.58,6.52,134.77,8.37,157.66
43.68,4.89,1.03,13.12,0.98,3.09,2.15,3.37,1.45,57.18,5.69,113.14
43.28,3.67,2.32,8.82,6.56,4.77,8.68,0.28,5.45,87.3,2.32,148.36
34,4.45,2.37,11.21,6.14,3.48,8.71,3.02,0.77,10.98,0.2,90.4
41.34,3.13,0.85,0.9,8.99,5.61,9.18,0.33,8.63,55.69,1.99,115.3
11.54,2.01,5.42,7,1.63,4.76,8.38,0.01,5.59,148.32,2.02,164.02
8.07,1.06,0.47,7.71,8.93,7.12,2.19,0.35,10,126.37,0.13,124.71
34.86,2.56,5.38,10.74,4.41,6.75,5.44,4.01,3.42,28.1,6.7,99.63
11.92,4.4,0.1,10.57,9.38,4.47,6.98,9.34,3.33,75.92,9.9,124.94
29.2,4.36,3.06,1.07,7.89,2.86,1.64,6.17,4.86,42.27,2.21,115.25
26.7,3.88,9.18,3.27,5.06,6.21,4.74,0.59,6.3,128.31,7.71,149.09
34.49,2.61,3.75,16.48,6.6,4.14,9.08,8.13,1.23,87.57,0.47,148.37
29.97,4.38,3.23,2.33,3.99,6.27,0.32,0.19,1.32,119.14,4.8,120.59
42.6,0.33,1.45,8.64,5.88,8.71,8.21,5.26,6.44,172.22,1.12,198.93
19.39,0.46,2.37,19.3,6.06,3.87,0.6,2.28,6.99,149.59,3.37,166.76
44.83,4.43,1.07,1,5.88,6.87,6.25,5.48,6.96,148.25,9.33,198.19
9.94,0.39,4.77,11.47,4.54,3.23,6.61,8.29,1.4,134.84,2.64,139.46
26.73,4.99,3.6,16.16,4.82,2.04,2.8,9.42,7.59,168.01,0.97,193.87
13.67,3.6,1.53,11.07,0.83,1.64,8.97,6.62,1.58,28.42,4.66,82.26
14.25,2.34,8.67,4.53,5.45,8.93,9.6,6.16,7.65,67.32,2.52,117.05
34.25,0.29,8.81,15.87,6.06,9.37,3.6,5.65,0.97,9.89,2.53,82.5
44.62,3.94,4.4,1.47,2.84,1.65,0.6,1.81,4.67,45.1,9.39,117.93
40.25,4.21,1.26,7.66,7.64,3.14,6.88,2.97,9.13,103.62,8.02,150.72
32.55,1.64,8.47,4.33,2.88,3.12,4.34,9.14,7.99,28.67,9.8,90.44
36.52,4.5,1.66,10.77,0.33,2.66,8.95,3,1.65,0.92,4.34,79.95
37.69,1.71,8.04,10.29,9.53,1.26,0.67,9.17,3.43,88.78,0.98,125.74
24.77,4.91,7.96,11.04,4.4,0.38,0.76,9.36,0.69,11.08,9.59,88.16
39.64,4.23,0.87,0.03,6.23,8.04,9.46,9.07,2.78,102.95,1.51,146.14
29.91,0.63,6.8,9.94,9.77,9.05,6.94,5.62,3.35,30.28,0.45,118.11
36.81,0.25,1.21,6.03,2.02,8.66,9.56,7.64,6.99,55.11,9.36,114.87
